"Module_No","Exam_Year","Exam_Sitting","Title","Paper","Module_URL","Subject","Paper_Language","Paper_type","Paper_No","HL_FAL_SAL","Region","NA.","NA..1","filename","fileext"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans fal paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=sYrNVNyP4Kg%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 1 afrikaans fal",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans fal paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=DDjgnFvYHpA%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 1","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 1 afrikaans fal memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans fal paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=6zYJrnDJM9U%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans fal",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans fal paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=Iwirl6OyreY%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans fal memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans fal paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=e8IuVp-AVKc%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 3 afrikaans fal",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans fal paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=2tbWXgqclvY%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 3","fal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 3 afrikaans fal memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans hl paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=nw9xQ54CLac%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 1","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 1 afrikaans hl",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans hl paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=TKz3shJ72Sg%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 1","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 1 afrikaans hl memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans hl paper 2","https://www.education.gov.za/LinkClick.aspx?fileticket=C4kW32aVq9I%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans hl",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans hl paper 2 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=FqEq0McZzjE%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 2","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans hl memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans hl paper 3","https://www.education.gov.za/LinkClick.aspx?fileticket=Z4Pxsjr7uA0%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 3","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 3 afrikaans hl",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans hl paper 3 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=nhkiIRYDPe8%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 3","hl","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 3 afrikaans hl memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 1","https://www.education.gov.za/LinkClick.aspx?fileticket=fI_6JIJszKc%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 1","sal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 1 afrikaans sal",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 1 memo","https://www.education.gov.za/LinkClick.aspx?fileticket=6XskVJ8C_5o%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","memo","paper 1","sal","",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 1 afrikaans sal memo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (eastern cape)","https://www.education.gov.za/LinkClick.aspx?fileticket=Gq_Jc038JJc%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","eastern cape",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal eastern cape",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (free state)","https://www.education.gov.za/LinkClick.aspx?fileticket=SZt3DDfG9d8%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","eastern cape",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal eastern cape",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (gauteng)","https://www.education.gov.za/LinkClick.aspx?fileticket=L2zR_UzRkX4%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","gauteng",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal gauteng",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (kwazulu-natal)","https://www.education.gov.za/LinkClick.aspx?fileticket=9Sf8Dp7lvJ0%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","kwazulu-natal",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal kwazulu-natal",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (limpopo)","https://www.education.gov.za/LinkClick.aspx?fileticket=fX4rCw2Q6Zg%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","limpopo",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal limpopo",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (mpumalanga)","https://www.education.gov.za/LinkClick.aspx?fileticket=rciepGGGfH4%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","mpumalanga",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal mpumalanga",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (north west)","https://www.education.gov.za/LinkClick.aspx?fileticket=frhmgI6IvrY%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","north west",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal north west",".pdf"
12283,2023,"May","2023 May/June NSC/SC Exam Papers","afrikaans sal paper 2 (northern cape)","https://www.education.gov.za/LinkClick.aspx?fileticket=0D5YFBdXfpQ%3d&tabid=4504&portalid=0&mid=12283","Afrikaans ","afrikaans","","paper 2","sal","northern cape",NA,NA,"C:/DEV/R/data/pastpapers/2023 May Afrikaans paper 2 afrikaans sal northern cape",".pdf"
