"Module_No","Exam_Year","Exam_Sitting","Title","Paper","Module_URL","Subject","Paper_Language","Paper_type","Paper_No","HL_FAL_SAL","Region","NA.","NA..1","filename","fileext","mc_start","mc_end","mc"
12297,2023,"May","2023 May/June NSC/SC Exam Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=6HziOxHT_TA%3d&tabid=4504&portalid=0&mid=12297","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2023 May Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
12297,2023,"May","2023 May/June NSC/SC Exam Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=zwSaAUnjSJQ%3d&tabid=4504&portalid=0&mid=12297","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2023 May Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
12297,2023,"May","2023 May/June NSC/SC Exam Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=0hpYQO4CD64%3d&tabid=4504&portalid=0&mid=12297","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2023 May Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
12297,2023,"May","2023 May/June NSC/SC Exam Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=OKcRouQEYt4%3d&tabid=4504&portalid=0&mid=12297","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2023 May Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
12661,2023,"November","2023 NSC November Exam papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=dMh4ZMqax4E%3d&tabid=4682&portalid=0&mid=12661","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2023 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
12661,2023,"November","2023 NSC November Exam papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=DMbazL1gHdM%3d&tabid=4682&portalid=0&mid=12661","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2023 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
12661,2023,"November","2023 NSC November Exam papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=y2hQRECdgig%3d&tabid=4682&portalid=0&mid=12661","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2023 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
12661,2023,"November","2023 NSC November Exam papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=Ixp9leUqgpA%3d&tabid=4682&portalid=0&mid=12661","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2023 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
10966,2022,"November","2022 NSC November Examination Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=MRg3Hvtj3dU%3d&tabid=3294&portalid=0&mid=10966","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2022 November Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
10966,2022,"November","2022 NSC November Examination Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=vplyLZ_FRc8%3d&tabid=3294&portalid=0&mid=10966","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2022 November Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
10966,2022,"November","2022 NSC November Examination Papers","memo paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=jH6zQU__sWA%3d&tabid=3294&portalid=0&mid=10966","agricultural management practices","english","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2022 November Agricultural Management Practices paper 1 english memo",".pdf","1.1.1 ",1.2,TRUE
10966,2022,"November","2022 NSC November Examination Papers","paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=PvTwQHs3WIE%3d&tabid=3294&portalid=0&mid=10966","agricultural management practices","english","","paper 1","","","","","C:/DEV/R/data/pastpapers/2022 November Agricultural Management Practices paper 1 english",".pdf","1.1.1 ",1.2,TRUE
10555,2022,"May","2022 May/June NSC/SC Exam Papers","memo paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=4Fe0rVeOJsI%3d&tabid=3138&portalid=0&mid=10555","agricultural management practices","afrikaans","memo","paper 1","","","","","C:/DEV/R/data/pastpapers/2022 May Agricultural Management Practices paper 1 afrikaans memo",".pdf","1.1.1 ",1.2,TRUE
10555,2022,"May","2022 May/June NSC/SC Exam Papers","paper 1 (afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=t3H7CELWV_o%3d&tabid=3138&portalid=0&mid=10555","agricultural management practices","afrikaans","","paper 1","","","","","C:/DEV/R/data/pastpapers/2022 May Agricultural Management Practices paper 1 afrikaans",".pdf","1.1.1 ",1.2,TRUE
