"Module_No.x","Exam_Year.x","Exam_Sitting.x","Title.x","Module_name.x.x","QP_URL","Module_name.y.x","Doc_Type.x","language.x","paper.x","annex.x","region.x","HL_SAL_FAL.x","control.x","DFkey2.x","DFkey","Module_No.y","Memo_URL","Module_name.y.y","DFkey2","subject","paper_no","regex_start","regex_end"
2838,2011,"February","2011 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2011 February paper 1 afrikaans NA All",2838,"https://www.education.gov.za/LinkClick.aspx?fileticket=Oqa912hNvNU%3d&tabid=726&portalid=0&mid=2838","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
2838,2011,"February","2011 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2011 February paper 1 english NA All",2838,"https://www.education.gov.za/LinkClick.aspx?fileticket=atd5W8bVx_w%3d&tabid=726&portalid=0&mid=2838","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
2293,2011,"November","2011 November NSC Examination Papers  ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=kWCwxZoNFio%3d&tabid=647&portalid=0&mid=2293","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2011 November paper 1 afrikaans NA All",2293,"https://www.education.gov.za/LinkClick.aspx?fileticket=hYS9ZMvDJVo%3d&tabid=647&portalid=0&mid=2293","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
2293,2011,"November","2011 November NSC Examination Papers  ","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=pYXW35veKhw%3d&tabid=647&portalid=0&mid=2293","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2011 November paper 1 english NA All",2293,"https://www.education.gov.za/LinkClick.aspx?fileticket=Sm-TqRtySg0%3d&tabid=647&portalid=0&mid=2293","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
2351,2012,"February","2012 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=eOQ3xG_QKao%3d&tabid=649&portalid=0&mid=2351","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2012 February paper 1 afrikaans NA All",2351,"https://www.education.gov.za/LinkClick.aspx?fileticket=8eOQfK0p3GM%3d&tabid=649&portalid=0&mid=2351","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
2351,2012,"February","2012 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=s5yYYOE-hT4%3d&tabid=649&portalid=0&mid=2351","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2012 February paper 1 english NA All",2351,"https://www.education.gov.za/LinkClick.aspx?fileticket=AIuB0dLXq1o%3d&tabid=649&portalid=0&mid=2351","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
1930,2013,"February","2013 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=qVum1JWyUmM%3d&tabid=610&portalid=0&mid=1930","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2013 February paper 1 afrikaans NA All",1930,"https://www.education.gov.za/LinkClick.aspx?fileticket=tu5Zmy6I9JI%3d&tabid=610&portalid=0&mid=1930","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
1930,2013,"February","2013 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=Jt_w2cZ6bDU%3d&tabid=610&portalid=0&mid=1930","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2013 February paper 1 english NA All",1930,"https://www.education.gov.za/LinkClick.aspx?fileticket=3CblFGXJeEA%3d&tabid=610&portalid=0&mid=1930","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
1882,2013,"November","2013 November NSC Examination Papers ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=D4bz_aaVcqQ%3d&tabid=607&portalid=0&mid=1882","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2013 November paper 1 afrikaans NA All",1882,"https://www.education.gov.za/LinkClick.aspx?fileticket=xLxOdG2HazM%3d&tabid=607&portalid=0&mid=1882","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
1882,2013,"November","2013 November NSC Examination Papers ","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=yXiTzStplXE%3d&tabid=607&portalid=0&mid=1882","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2013 November paper 1 english NA All",1882,"https://www.education.gov.za/LinkClick.aspx?fileticket=yXiTzStplXE%3d&tabid=607&portalid=0&mid=1882","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
1663,2014,"February","2014 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Z14oj7x8pXs%3d&tabid=584&portalid=0&mid=1663","agricultural management practices","application/pdf","afrikaans","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2014 February paper 1 afrikaans NA All",1663,"https://www.education.gov.za/LinkClick.aspx?fileticket=3UD4hbpyD8s%3d&tabid=584&portalid=0&mid=1663","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
1663,2014,"February","2014 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=7bED4gTcVfo%3d&tabid=584&portalid=0&mid=1663","agricultural management practices","application/pdf","english","paper 1",NA,"All",NA," ","agricultural management practices paper 1","agricultural management practices 2014 February paper 1 english NA All",1663,"https://www.education.gov.za/LinkClick.aspx?fileticket=AIuB0dLXq1o%3d&tabid=584&portalid=0&mid=1663","agricultural management practices","agricultural management practices paper 1","agricultural management practices","PAPER 1","1.1.1 ",1.2
