"Paper_No","Module_No","Exam_Year","Exam_Sitting","Title","Paper","Module_URL","Subject","Paper_Language","Paper_type","subject","paper_no","regex_start","regex_end"
"agricultural management practices paper 1",1663,2014,"February","2014 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=7bED4gTcVfo%3d&tabid=584&portalid=0&mid=1663","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8777,2019,"May","2019 May/June Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=kFCLnHegsKA%3d&tabid=2468&portalid=0&mid=8777","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9895,2021,"May","2021 NSC/SC May/June Examinations","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=dHjFThcHQhk%3d&tabid=2837&portalid=0&mid=9895","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",6371,2017,"February","2017 Feb/March NSC Exam Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=-zScaOBJzg4%3d&tabid=1608&portalid=0&mid=6371","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1522,2014,"November","2014 November NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=Z31cIxiz4Is%3d&tabid=568&portalid=0&mid=1522","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",6161,2016,"November","2016 NSC Examinations (Oct/Nov)","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=jNILkXjU77U%3d&tabid=1508&portalid=0&mid=6161","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8777,2019,"May","2019 May/June Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=tMpGEDPKM3A%3d&tabid=2468&portalid=0&mid=8777","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1882,2013,"November","2013 November NSC Examination Papers ","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=xLxOdG2HazM%3d&tabid=607&portalid=0&mid=1882","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2838,2011,"February","2011 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2838,2011,"February","2011 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=XZIuh5Su6IE%3d&tabid=726&portalid=0&mid=2838","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2838,2011,"February","2011 Feb/March NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=atd5W8bVx_w%3d&tabid=726&portalid=0&mid=2838","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",6161,2016,"November","2016 NSC Examinations (Oct/Nov)","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Cll_tOSFYfI%3d&tabid=1508&portalid=0&mid=6161","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9613,2020,"November","2020 NSC and SC Exam Papers (November)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=PdQBwmQEjUY%3d&tabid=2702&portalid=0&mid=9613","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2351,2012,"February","2012 Feb/March NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=AIuB0dLXq1o%3d&tabid=649&portalid=0&mid=2351","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1663,2014,"February","2014 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=Z14oj7x8pXs%3d&tabid=584&portalid=0&mid=1663","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9613,2020,"November","2020 NSC and SC Exam Papers (November)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=CpNCAdkHGzg%3d&tabid=2702&portalid=0&mid=9613","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2351,2012,"February","2012 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=s5yYYOE-hT4%3d&tabid=649&portalid=0&mid=2351","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8244,2018,"May","2018 May/June NSC Exam Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=HDP6haTNAs8%3d&tabid=2182&portalid=0&mid=8244","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",6371,2017,"February","2017 Feb/March NSC Exam Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=D-Io6pGLwKY%3d&tabid=1608&portalid=0&mid=6371","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",2522,2009,"November","2009 November NSC Examination Papers ","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=DFZaUZEtujM%3d&tabid=677&portalid=0&mid=2522","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",9895,2021,"May","2021 NSC/SC May/June Examinations","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=V_418wSPp3I%3d&tabid=2837&portalid=0&mid=9895","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",8777,2019,"May","2019 May/June Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=GymWlSB43FM%3d&tabid=2468&portalid=0&mid=8777","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",7577,2018,"February","2018 Grade 12 NSC Supplementary Exams (Feb/March)","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=QzhYeLvLXTY%3d&tabid=1920&portalid=0&mid=7577","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1663,2014,"February","2014 Feb/March NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=3UD4hbpyD8s%3d&tabid=584&portalid=0&mid=1663","Agricultural Management Practices","Afrikaans",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
"agricultural management practices paper 1",1663,2014,"February","2014 Feb/March NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=AIuB0dLXq1o%3d&tabid=584&portalid=0&mid=1663","Agricultural Management Practices","English",NA,"AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2
