"PDF_URL","paper","Module_No","Subject_Name","Grade","Year_title","Paper_type","Paper_Language","Module_name","Year","Paper_No","subject","paper_no","regex_start","regex_end","type"
"https://www.education.gov.za/LinkClick.aspx?fileticket=-TKLFmpkryQ%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"Afrikaans","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/msword"
"https://www.education.gov.za/LinkClick.aspx?fileticket=-TKLFmpkryQ%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"Afrikaans","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/msword"
"https://www.education.gov.za/LinkClick.aspx?fileticket=-TKLFmpkryQ%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"Afrikaans","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/msword"
"https://www.education.gov.za/LinkClick.aspx?fileticket=-TKLFmpkryQ%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Memo Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"Afrikaans","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/msword"
"https://www.education.gov.za/LinkClick.aspx?fileticket=DFZaUZEtujM%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"Afrikaans","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=DFZaUZEtujM%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"Afrikaans","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=DFZaUZEtujM%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"Afrikaans","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=DFZaUZEtujM%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Paper 1 (Afrikaans)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"Afrikaans","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
"https://www.education.gov.za/LinkClick.aspx?fileticket=eVllWFMOhPo%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"English","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/msword"
"https://www.education.gov.za/LinkClick.aspx?fileticket=eVllWFMOhPo%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"English","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/msword"
"https://www.education.gov.za/LinkClick.aspx?fileticket=eVllWFMOhPo%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"English","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/msword"
"https://www.education.gov.za/LinkClick.aspx?fileticket=eVllWFMOhPo%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Memo Paper 1 (English)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"English","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/msword"
"https://www.education.gov.za/LinkClick.aspx?fileticket=xkD6aVc_c-M%3d&tabid=677&portalid=0&mid=2522","agricultural management practices paper 1",2522,"Paper 1 (english)",12,"National Department of Basic Education > Curriculum > National Senior Certificate (NSC) Examinations  > NSC November 2009 Examination",NA,"English","Agricultural Management Practices",2009,"paper 1","AGRICULTURAL MANAGEMENT PRACTICES","PAPER 1","1.1.1 ",1.2,"application/pdf"
