"URL","URL_text","Exam_year","Sitting"
"https://www.education.gov.za/LinkClick.aspx?link=https%3a%2f%2fwww.education.gov.za%2fCurriculum%2fNationalSeniorCertificate(NSC)Examinations%2f2023MayJuneExamPapers.aspx&tabid=593&portalid=0&mid=1741","2023 May/June NSC/SC Exam Papers",2023,"May"
"https://www.education.gov.za/LinkClick.aspx?link=3294&tabid=593&portalid=0&mid=1741","2022 NSC November Examination Papers",2022,"November"
"https://www.education.gov.za/LinkClick.aspx?link=https%3a%2f%2fwww.education.gov.za%2fCurriculum%2fNationalSeniorCertificate(NSC)Examinations%2f2022MayJuneExamPapers.aspx+&tabid=593&portalid=0&mid=1741","2022 May/June NSC/SC Exam Papers",2022,"May"
"https://www.education.gov.za/LinkClick.aspx?link=https%3a%2f%2fwww.education.gov.za%2fCurriculum%2fNationalSeniorCertificate(NSC)Examinations%2f2021NSCExamPapers.aspx&tabid=593&portalid=0&mid=1741","2021 NSC November Examination Papers",2021,"November"
"https://www.education.gov.za/LinkClick.aspx?link=https%3a%2f%2fwww.education.gov.za%2fCurriculum%2fNationalSeniorCertificate(NSC)Examinations%2f2021MayJuneNSCExams.aspx&tabid=593&portalid=0&mid=1741","2021 NSC/SC May/June Examinations",2021,"May"
"https://www.education.gov.za/LinkClick.aspx?link=https%3a%2f%2fwww.education.gov.za%2fCurriculum%2fNationalSeniorCertificate(NSC)Examinations%2f2020NSCExamPapers.aspx&tabid=593&portalid=0&mid=1741","2020 NSC and SC Exam Papers (November)",2020,"November"
"https://www.education.gov.za/LinkClick.aspx?link=2556&tabid=593&portalid=0&mid=1741","2019 NSC Examination Papers (November)",2019,"November"
"https://www.education.gov.za/LinkClick.aspx?link=https%3a%2f%2fwww.education.gov.za%2f2019JuneNSCExamPapers.aspx&tabid=593&portalid=0&mid=1741","2019 May/June Examination Papers",2019,"May"
"https://www.education.gov.za/LinkClick.aspx?link=2268&tabid=593&portalid=0&mid=1741","2018 November NSC Examination Papers ",2018,"November"
"https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/2018SupplementaryExams.aspx","2018 Grade 12 NSC Supplementary Exams (Feb/March)",2018,"February"
"https://www.education.gov.za/LinkClick.aspx?link=https%3a%2f%2fwww.education.gov.za%2fCurriculum%2fNationalCurriculumStatementsGradesR-12%2f2018Grade12ExemplarsTechnicalSubjects.aspx&tabid=593&portalid=0&mid=1741","2018 Grade 12 Exemplars: Technical Subjects",2018,NA
"https://www.education.gov.za/LinkClick.aspx?link=2182&tabid=593&portalid=0&mid=1741","2018 May/June NSC Exam Papers",2018,"May"
"https://www.education.gov.za/Home/2017NSCNovemberpastpapers.aspx","2017 November NSC Examination Papers",2017,"November"
"https://www.education.gov.za/LinkClick.aspx?link=1608&tabid=593&portalid=0&mid=1741","2017 Feb/March NSC Exam Papers",2017,"February"
"https://www.education.gov.za/LinkClick.aspx?link=1508&tabid=593&portalid=0&mid=1741","2016 NSC Examinations (Oct/Nov)",2016,"November"
"https://www.education.gov.za/LinkClick.aspx?link=1375&tabid=593&portalid=0&mid=1741","2016 ASC Exam Papers (May/June)",2016,"May"
"https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/PastExamPapers/2016FebMarchNSCExaminationPapers.aspx","2016 Feb/March NSC Examination Papers",2016,"February"
"https://www.education.gov.za/Curriculum/NationalSeniorCertificate(NSC)Examinations/PastExamPapers/2015NovemberNSCExamPapers1.aspx","2015 November NSC Examination Papers",2015,"November"
"https://www.education.gov.za/LinkClick.aspx?link=730&tabid=593&portalid=0&mid=1741","2015 Feb/March NSC Examination Papers",2015,"February"
"https://www.education.gov.za/LinkClick.aspx?link=568&tabid=593&portalid=0&mid=1741","2014 November NSC Examination Papers",2014,"November"
"https://www.education.gov.za/LinkClick.aspx?link=584&tabid=593&portalid=0&mid=1741","2014 Feb/March NSC Examination Papers",2014,"February"
"https://www.education.gov.za/LinkClick.aspx?link=599&tabid=593&portalid=0&mid=1741","2014 Grade 12 NSC Exemplars",2014,NA
"https://www.education.gov.za/LinkClick.aspx?link=607&tabid=593&portalid=0&mid=1741","2013 November NSC Examination Papers ",2013,"November"
"https://www.education.gov.za/LinkClick.aspx?link=610&tabid=593&portalid=0&mid=1741","2013 Feb/March NSC Examination Papers",2013,"February"
"https://www.education.gov.za/LinkClick.aspx?link=626&tabid=593&portalid=0&mid=1741","2012 November NSC Examination Papers",2012,"November"
"https://www.education.gov.za/LinkClick.aspx?link=649&tabid=593&portalid=0&mid=1741","2012 Feb/March NSC Examination Papers",2012,"February"
"https://www.education.gov.za/LinkClick.aspx?link=647&tabid=593&portalid=0&mid=1741","2011 November NSC Examination Papers  ",2011,"November"
"https://www.education.gov.za/LinkClick.aspx?link=726&tabid=593&portalid=0&mid=1741","2011 Feb/March NSC Examination Papers",2011,"February"
"https://www.education.gov.za/LinkClick.aspx?link=677&tabid=593&portalid=0&mid=1741","2009 November NSC Examination Papers ",2009,"November"
"https://www.education.gov.za/LinkClick.aspx?link=694&tabid=593&portalid=0&mid=1741","2008 November NSC Examination Papers  ",2008,"November"
