"Module_No","Exam_Year","Exam_Sitting","Title","Module_name.x","Module_URL","Module_name.y","Doc_Type","language","paper","annex","region","HL_SAL_FAL","control"
9893,2021,"May","2021 NSC/SC May/June Examinations","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=8tCetAUPCZI%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
9893,2021,"May","2021 NSC/SC May/June Examinations","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=wnCu2SqMWVU%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
9893,2021,"May","2021 NSC/SC May/June Examinations","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=KiLmhZnYPsk%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
9893,2021,"May","2021 NSC/SC May/June Examinations","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=ocXfbm4H7JY%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
9893,2021,"May","2021 NSC/SC May/June Examinations","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=VAaqXjQ_mBo%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
9893,2021,"May","2021 NSC/SC May/June Examinations","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=GKTE6NY-FT4%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
9893,2021,"May","2021 NSC/SC May/June Examinations","Paper 2 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=TIr57HGefY8%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","afrikaans","paper 2",NA,"All",NA," "
9893,2021,"May","2021 NSC/SC May/June Examinations","Paper 2 Answerbook (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=dKtjTu0CCTw%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","afrikaans","paper 2",NA,"All",NA," answerbook "
9893,2021,"May","2021 NSC/SC May/June Examinations","Memo Paper 2 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=IDlC2kFOZ7E%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","afrikaans","paper 2",NA,"All",NA,"memo  "
9893,2021,"May","2021 NSC/SC May/June Examinations","Paper 2 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=tBxR0J5_qmY%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","english","paper 2",NA,"All",NA," "
9893,2021,"May","2021 NSC/SC May/June Examinations","Paper 2 Answerbook (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=pyQ-CVKdyt8%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","english","paper 2",NA,"All",NA," answerbook "
9893,2021,"May","2021 NSC/SC May/June Examinations","Memo Paper 2 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=NJk5KGCEFXI%3d&tabid=2837&portalid=0&mid=9893","Accounting","application/pdf","english","paper 2",NA,"All",NA,"memo  "
